MoveIt! version 65804
Experiment unfurl
Running on ML003
Starting at 2023-Jun-23 13:47:58.866491
<<<|
|>>>
0 is the random seed
30 seconds per run
-1 MB per run
1.58049 seconds spent to collect the data
0 enum types
4 planners
rrtconnect
0 common properties
20 properties for each run
time REAL
success BOOLEAN
correct BOOLEAN
length REAL
machine_hostname VARCHAR(128)
machine_process_id BIGINT
machine_thread_id BIGINT
query_finish_time REAL
query_index INT
query_start_time REAL
query_timeout_trial INT
query_trial INT
request_group_name VARCHAR(128)
request_num_planning_attempts INT
request_planner_id VARCHAR(128)
request_planner_type VARCHAR(128)
robowflex_planner_name VARCHAR(128)
robowflex_robot_name VARCHAR(128)
smoothness REAL
waypoints INT
200 runs
0.00725; 0; 0; 0; ML003; 17722; 140548090627840; 0.0074440000000000001; 0; 0.000194; 0; 1; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007405; 0; 0; 0; ML003; 17722; 140548099020544; 0.0076179999999999998; 0; 0.000213; 0; 0; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007453; 0; 0; 0; ML003; 17722; 140548082235136; 0.0076959999999999997; 0; 0.000243; 0; 2; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007571; 0; 0; 0; ML003; 17722; 140548073842432; 0.0078510000000000003; 0; 0.00027999999999999998; 0; 3; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006786; 0; 0; 0; ML003; 17722; 140548099020544; 0.014504; 0; 0.007718; 0; 5; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006767; 0; 0; 0; ML003; 17722; 140548082235136; 0.014536; 0; 0.0077689999999999999; 0; 6; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007281; 0; 0; 0; ML003; 17722; 140548090627840; 0.014799; 0; 0.0075180000000000004; 0; 4; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006926; 0; 0; 0; ML003; 17722; 140548073842432; 0.01489; 0; 0.0079640000000000006; 0; 7; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006782; 0; 0; 0; ML003; 17722; 140548099020544; 0.021350000000000001; 0; 0.014567999999999999; 0; 8; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006904; 0; 0; 0; ML003; 17722; 140548082235136; 0.021520999999999998; 0; 0.014617; 0; 9; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006677; 0; 0; 0; ML003; 17722; 140548073842432; 0.021644; 0; 0.014966999999999999; 0; 11; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007079; 0; 0; 0; ML003; 17722; 140548090627840; 0.021925; 0; 0.014846; 0; 10; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007003; 0; 0; 0; ML003; 17722; 140548099020544; 0.028403999999999999; 0; 0.021401; 0; 12; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.008803; 0; 0; 0; ML003; 17722; 140548082235136; 0.030391000000000001; 0; 0.021588; 0; 13; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01159; 0; 0; 0; ML003; 17722; 140548090627840; 0.033584000000000003; 0; 0.021994; 0; 15; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.012192; 0; 0; 0; ML003; 17722; 140548073842432; 0.033960999999999998; 0; 0.021769; 0; 14; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007323; 0; 0; 0; ML003; 17722; 140548099020544; 0.035806999999999999; 0; 0.028483999999999999; 0; 16; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007145; 0; 0; 0; ML003; 17722; 140548082235136; 0.037634000000000001; 0; 0.030488999999999999; 0; 17; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
