MoveIt! version 65804
Experiment unfurl
Running on ML003
Starting at 2023-Jun-22 15:29:18.622698
<<<|
|>>>
0 is the random seed
5 seconds per run
-1 MB per run
15.4745 seconds spent to collect the data
0 enum types
4 planners
rrtconnect
0 common properties
20 properties for each run
time REAL
success BOOLEAN
correct BOOLEAN
length REAL
machine_hostname VARCHAR(128)
machine_process_id BIGINT
machine_thread_id BIGINT
query_finish_time REAL
query_index INT
query_start_time REAL
query_timeout_trial INT
query_trial INT
request_group_name VARCHAR(128)
request_num_planning_attempts INT
request_planner_id VARCHAR(128)
request_planner_type VARCHAR(128)
robowflex_planner_name VARCHAR(128)
robowflex_robot_name VARCHAR(128)
smoothness REAL
waypoints INT
200 runs
0.086713; 1; 1; 4.5810275376269933; ML003; 22317; 140669075121920; 0.086898000000000003; 0; 0.000185; 0; 1; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 8.6651553141475635e-17; 123; 
0.095544; 1; 1; 4.5810275376269916; ML003; 22317; 140669083514624; 0.095705999999999999; 0; 0.00016200000000000001; 0; 0; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.2209627617896359e-17; 123; 
0.095505; 1; 1; 4.5810275376269924; ML003; 22317; 140669066729216; 0.095714999999999995; 0; 0.00021000000000000001; 0; 2; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 8.6651553141475635e-17; 123; 
0.112614; 1; 1; 4.5810275376269916; ML003; 22317; 140669058336512; 0.11287700000000001; 0; 0.000263; 0; 3; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.010934786650549e-16; 123; 
0.047479; 1; 1; 4.5810275376269907; ML003; 22317; 140669075121920; 0.139491; 0; 0.092011999999999997; 0; 4; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.2209627617896359e-17; 123; 
0.091737; 1; 1; 4.5810275376269924; ML003; 22317; 140669066729216; 0.19026399999999999; 0; 0.098527000000000003; 0; 6; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.0831444142684454e-16; 123; 
0.07223; 1; 1; 4.5810275376269924; ML003; 22317; 140669075121920; 0.214533; 0; 0.14230300000000001; 0; 8; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 8.6651553141475635e-17; 123; 
0.119257; 1; 1; 4.5810275376269898; ML003; 22317; 140669058336512; 0.23519300000000001; 0; 0.115936; 0; 7; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.145411; 1; 1; 4.5810275376269924; ML003; 22317; 140669083514624; 0.243976; 0; 0.098565; 0; 5; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 8.6651553141475635e-17; 123; 
0.097647; 1; 1; 4.5810275376269907; ML003; 22317; 140669066729216; 0.29076800000000003; 0; 0.19312099999999999; 0; 9; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.010934786650549e-16; 123; 
0.091248; 1; 1; 4.5810275376269942; ML003; 22317; 140669075121920; 0.30858400000000002; 0; 0.217336; 0; 10; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.085292; 1; 1; 4.5810275376269933; ML003; 22317; 140669058336512; 0.32491100000000001; 0; 0.239619; 0; 11; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.099411; 1; 1; 4.5810275376269916; ML003; 22317; 140669083514624; 0.346105; 0; 0.246694; 0; 12; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.069951; 1; 1; 4.5810275376269933; ML003; 22317; 140669075121920; 0.38144600000000001; 0; 0.31149500000000002; 0; 14; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.109761; 1; 1; 4.5810275376269898; ML003; 22317; 140669066729216; 0.40332000000000001; 0; 0.29355900000000001; 0; 13; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.0831444142684454e-16; 123; 
0.080398; 1; 1; 4.5810275376269907; ML003; 22317; 140669083514624; 0.43011100000000002; 0; 0.349713; 0; 16; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.2997732971221344e-16; 123; 
0.058442; 1; 1; 4.5810275376269898; ML003; 22317; 140669083514624; 0.49124400000000001; 0; 0.43280200000000002; 0; 19; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.105171; 1; 1; 4.5810275376269933; ML003; 22317; 140669066729216; 0.51188999999999996; 0; 0.406719; 0; 18; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.181962; 1; 1; 4.5810275376269916; ML003; 22317; 140669058336512; 0.50979799999999997; 0; 0.32783600000000002; 0; 15; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.0831444142684454e-16; 123; 
0.166036; 1; 1; 4.5810275376269916; ML003; 22317; 140669075121920; 0.55042999999999997; 0; 0.38439400000000001; 0; 17; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 5.7767702094317094e-17; 123; 
0.103986; 1; 1; 4.5810275376269898; ML003; 22317; 140669058336512; 0.61895999999999995; 0; 0.51497400000000004; 0; 22; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.134897; 1; 1; 4.5810275376269942; ML003; 22317; 140669066729216; 0.64964699999999997; 0; 0.51475000000000004; 0; 21; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.158869; 1; 1; 4.5810275376269916; ML003; 22317; 140669083514624; 0.65308999999999995; 0; 0.49422100000000002; 0; 20; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.102836; 1; 1; 4.5810275376269916; ML003; 22317; 140669075121920; 0.65839899999999996; 0; 0.55556300000000003; 0; 23; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
